DBo,Match_Score,Coverage_imp,Complexity,Fitness
Rep_DBo_1,0.969,0.879,0.250,0.602
Rep_DBo_2,0.952,0.769,0.217,0.515
Rep_DBo_3,0.960,0.820,0.240,0.547
Rep_DBo_4,0.965,0.809,0.240,0.541
Rep_DBo_5,0.961,0.785,0.200,0.555
Rep_DBo_6,0.965,0.777,0.240,0.510
Rep_DBo_7,0.973,0.770,0.217,0.532
Rep_DBo_8,0.965,0.879,0.240,0.608
Rep_DBo_9,0.973,0.836,0.260,0.553
Rep_DBo_10,0.952,0.769,0.217,0.515
Rep_DBo_11,0.969,0.770,0.200,0.546
Rep_DBo_12,0.958,0.769,0.220,0.516
Rep_DBo_13,0.963,0.879,0.233,0.613
Rep_DBo_14,0.958,0.769,0.220,0.516
Rep_DBo_15,0.971,0.819,0.233,0.561
Rep_DBo_16,0.970,0.879,0.233,0.620
Rep_DBo_17,0.965,0.809,0.240,0.541
Rep_DBo_18,0.963,0.770,0.233,0.508
Rep_DBo_19,0.965,0.777,0.240,0.510
Rep_DBo_20,0.963,0.770,0.233,0.508
Rep_DBo_21,0.965,0.809,0.240,0.541
Rep_DBo_22,0.963,0.879,0.233,0.613
Rep_DBo_23,0.952,0.769,0.217,0.515
Rep_DBo_24,0.966,0.879,0.283,0.566
Rep_DBo_25,0.952,0.769,0.217,0.515
Rep_DBo_26,0.962,0.938,0.333,0.569
Rep_DBo_27,0.963,0.879,0.233,0.613
Rep_DBo_28,0.963,0.879,0.233,0.613
Rep_DBo_29,0.973,0.770,0.217,0.532
Rep_DBo_30,0.963,0.809,0.233,0.545
Rep_DBo_31,0.973,0.770,0.217,0.532
Rep_DBo_32,0.968,0.759,0.220,0.515
Rep_DBo_33,0.963,0.770,0.233,0.508
Rep_DBo_34,0.973,0.783,0.217,0.545
Rep_DBo_35,0.965,0.879,0.317,0.531
Rep_DBo_36,0.963,0.879,0.233,0.613
Rep_DBo_37,0.964,0.879,0.217,0.630
Rep_DBo_38,0.965,0.809,0.240,0.541
Rep_DBo_39,0.961,0.785,0.200,0.555
Rep_DBo_40,0.963,0.828,0.233,0.564
Rep_DBo_41,0.973,0.829,0.217,0.590
Rep_DBo_42,0.960,0.817,0.217,0.568
Rep_DBo_43,0.965,0.877,0.333,0.513
Rep_DBo_44,0.961,0.785,0.200,0.555
Rep_DBo_45,0.973,0.770,0.217,0.532
Rep_DBo_46,0.952,0.769,0.217,0.515
Rep_DBo_47,0.966,0.879,0.283,0.566
Rep_DBo_48,0.960,0.820,0.240,0.547
Rep_DBo_49,0.971,0.783,0.233,0.527
Rep_DBo_50,0.958,0.769,0.220,0.516
