DBo,Match_Score,Coverage_imp,Complexity,Fitness
DBo_1,0.925,0.119,0.350,-0.240
DBo_2,0.963,0.223,0.350,-0.135
DBo_3,0.950,0.489,0.271,0.193
DBo_4,0.955,0.489,0.229,0.238
DBo_5,0.958,0.219,0.267,-0.056
DBo_6,0.925,0.260,0.200,0.040
DBo_7,0.983,0.107,0.150,-0.045
DBo_8,0.969,0.563,0.240,0.306
DBo_9,0.975,0.401,0.300,0.091
DBo_10,0.967,0.431,0.267,0.150
DBo_11,0.961,0.378,0.200,0.164
DBo_12,0.964,0.244,0.240,-0.004
DBo_13,0.925,0.228,0.350,-0.139
DBo_14,0.971,0.369,0.225,0.133
DBo_15,0.961,0.370,0.220,0.136
DBo_16,0.994,0.108,0.167,-0.059
DBo_17,0.944,0.432,0.280,0.128
DBo_18,0.960,0.429,0.357,0.055
DBo_19,0.970,0.400,0.250,0.138
DBo_20,0.958,0.210,0.267,-0.065
DBo_21,0.992,0.170,0.200,-0.032
DBo_22,0.958,0.332,0.267,0.052
DBo_23,0.967,0.582,0.300,0.263
DBo_24,0.973,0.504,0.225,0.265
DBo_25,0.953,0.378,0.275,0.086
DBo_26,0.954,0.561,0.287,0.248
DBo_27,0.967,0.547,0.320,0.209
DBo_28,0.953,0.293,0.314,-0.035
DBo_29,0.963,0.178,0.300,-0.129
DBo_30,0.981,0.108,0.250,-0.144
DBo_31,0.959,0.372,0.283,0.074
DBo_32,0.990,0.237,0.233,0.002
DBo_33,0.963,0.185,0.233,-0.055
DBo_34,0.950,0.151,0.367,-0.224
DBo_35,0.969,0.348,0.240,0.097
DBo_36,0.975,0.215,0.300,-0.091
DBo_37,0.963,0.320,0.300,0.008
DBo_38,0.975,0.168,0.200,-0.036
DBo_39,0.948,0.319,0.260,0.042
DBo_40,0.979,0.178,0.300,-0.126
DBo_41,0.966,0.319,0.380,-0.072
DBo_42,0.973,0.575,0.214,0.345
DBo_43,0.950,0.142,0.400,-0.265
DBo_44,0.983,0.229,0.200,0.025
DBo_45,0.943,0.338,0.300,0.019
DBo_46,0.992,0.013,0.200,-0.187
DBo_47,0.957,0.383,0.300,0.067
DBo_48,0.973,0.241,0.217,0.018
DBo_49,0.992,0.183,0.200,-0.019
DBo_50,0.975,0.219,0.200,0.014
