visualization,vis_ID,VA,VAT,CorresDT,mandatory,Max#Val
Histogram,HT,x,Position,Numeric,1,2000
BarChartxOffOrdinal,BCxO,x,ColorHue,Ordinal,1,10
BarChartxOffOrdinal,BCxO,color,ColorHue,Ordinal,1,10
BarChartxOffNominal,BCxN,x,ColorHue,Nominal,1,10
BarChartxOffNominal,BCxN,color,ColorHue,Nominal,1,10
BarChartOrdinal,BCO,x,Position,Numeric,1,2000
BarChartOrdinal,BCO,color,ColorHue,Ordinal,1,10
BarChartNominal,BCN,x,Position,Numeric,1,2000
BarChartNominal,BCN,color,ColorHue,Nominal,1,10
PieChartOrdinal,PCO,color,ColorHue,Ordinal,1,10
PieCharNominal,PCN,color,ColorHue,Nominal,1,10
LineChartTemporal,LCT,x,Position,Numeric,1,2000
LineChartTemporal,LCT,t,TimeAxis,Time,1,100
LineChartOrdinal,LCO,x,Position,Numeric,1,2000
LineChartOrdinal,LCO,t,TimeAxis,Time,1,100
LineChartOrdinal,LCO,color,ColorHue,Ordinal,1,10
LineChartNominal,LCN,x,Position,Numeric,1,2000
LineChartNominal,LCN,t,TimeAxis,Time,1,100
LineChartNominal,LCN,color,ColorHue,Nominal,1,10
Scatterplot,SP,x,Position,Numeric,1,2000
Scatterplot,SP,y,Position,Numeric,1,2000
ScatterplotOrdinal,SPO,x,Position,Numeric,1,2000
ScatterplotOrdinal,SPO,y,Position,Numeric,1,2000
ScatterplotOrdinal,SPO,color,ColorHue,Ordinal,1,10
ScatterplotNominal,SPN,x,Position,Numeric,1,2000
ScatterplotNominal,SPN,y,Position,Numeric,1,2000
ScatterplotNominal,SPN,color,ColorHue,Nominal,1,10
